ID,CC_transfer,final_GPA,time_to_grad,extra_quarters,grad_on_time,graduated,total_units,gender,uc_ethnicity,first_gen_bachelors,ever_pell_fl,age_at_grad,CC_GPA_standard,entry_year,college_name,Calendar_Type
22,1,3.611494252,2.0,0.0,1,1,87.0,Female,"Unstated, Unknown, Other",Not First Gen,N,24.33,0.742580464,2018,SANTA BARBARA CITY C,Semester
23,1,3.7046875,2.0,0.0,1,1,74.0,Male,White Non-Hispanic,Not First Gen,N,22.11,-0.199652818,2019,FOOTHILL COLLEGE,Quarter
24,1,3.708510638,2.0,0.0,1,1,97.0,Female,Asian or Pacific Islander,First Gen,Y,33.42,1.007215222,2019,PASADENA CITY COLLEG,Semester
25,1,2.674725274,,,0,0,96.0,Male,Asian or Pacific Islander,First Gen,Y,,-1.222611702,2018,LAS POSITAS COLLEGE,Semester
26,1,3.635,2.0,0.0,1,1,80.0,Female,Asian or Pacific Islander,Not First Gen,N,22.51,0.794621815,2015,EL CAMINO COLLEGE,Semester
27,1,3.576404494,2.25,1.0,0,1,93.0,Female,Black Non-Hispanic,First Gen,Y,25.62,-1.401265536,2018,ANTELOPE VALLEY COLL,Semester
28,1,3.862365591,2.0,0.0,1,1,96.0,Female,White Non-Hispanic,Not First Gen,Y,22.16,-0.418669453,2018,GLENDALE COMMUNITY C,Semester
29,1,3.749438202,2.25,1.0,0,1,94.0,Male,White Non-Hispanic,First Gen,N,22.73,0.453009177,2016,GLENDALE COMMUNITY C,Semester
30,1,3.657446808,2.0,0.0,1,1,102.0,Male,"Unstated, Unknown, Other",Not First Gen,N,22.59,0.027965131,2018,SANTA MONICA COLL,Semester
31,1,3.808108108,2.0,0.0,1,1,90.5,Female,Hispanic,First Gen,Y,22.07,0.554639707,2019,CYPRESS COLLEGE,Semester
32,1,3.662,2.25,1.0,0,1,101.0,Male,White Non-Hispanic,First Gen,Y,22.24,-0.14936665,2019,GLENDALE COMMUNITY C,Semester
33,1,3.051282051,2.0,0.0,1,1,90.0,Male,White Non-Hispanic,First Gen,Y,22.28,0.102064192,2019,SAN DIEGO MESA COLLE,Semester
34,1,3.915189873,2.0,0.0,1,1,79.0,Female,White Non-Hispanic,Not First Gen,N,22.28,1.136287711,2017,GLENDALE COMMUNITY C,Semester
35,1,3.443820224,2.0,0.0,1,1,89.0,Female,White Non-Hispanic,First Gen,Y,24.67,-1.490592452,2018,SANTA MONICA COLL,Semester
36,1,3.782222222,2.0,0.0,1,1,90.0,Male,Hispanic,First Gen,Y,26.41,-0.39063572,2015,COLLEGE OF THE CANYO,Semester
37,1,3.476288659,2.25,1.0,0,1,101.0,Female,Hispanic,Not First Gen,N,22.16,0.304170421,2015,SADDLEBACK COLLEGE,Semester
38,1,3.748113207,2.25,1.0,0,1,106.0,Female,Asian or Pacific Islander,First Gen,Y,25.0,0.295945881,2018,MOUNT SAN ANTONIO CO,Semester
39,1,2.897701149,2.75,3.0,0,1,103.0,Male,Hispanic,Not First Gen,N,24.45,0.429936256,2018,COLLEGE OF THE CANYO,Semester
40,1,2.784848484,2.0,0.0,1,1,99.0,Female,White Non-Hispanic,First Gen,Y,23.42,-0.318032561,2017,SANTA MONICA COLL,Semester
41,1,2.675,2.0,0.0,1,1,89.0,Female,Asian or Pacific Islander,First Gen,Y,22.39,0.303208865,2019,MOUNT SAN ANTONIO CO,Semester
42,1,2.297916666,,,0,0,61.0,Male,"Unstated, Unknown, Other",Not First Gen,Y,,-1.342493452,2016,GROSSMONT COLLEGE,Semester
43,1,2.414035087,,,0,0,69.0,Male,Asian or Pacific Islander,First Gen,Y,,0.102064192,2019,MOORPARK COLLEGE,Semester
44,1,3.380722891,2.0,0.0,1,1,83.0,Male,Hispanic,First Gen,N,22.93,-1.607665532,2019,RIO HONDO COLLEGE,Semester
45,1,3.345555555,2.0,0.0,1,1,100.5,Male,Asian or Pacific Islander,Not First Gen,Y,25.44,-1.575893254,2015,CYPRESS COLLEGE,Semester
46,1,2.825274725,2.5,2.0,0,1,96.0,Female,Hispanic,First Gen,Y,22.11,0.206618964,2018,CANADA COLLEGE,Semester
47,1,2.983529411,2.5,2.0,0,1,93.0,Male,White Non-Hispanic,Not First Gen,N,21.06,-0.305091933,2016,MONTEREY PENINSULA C,Semester
48,1,3.901204819,2.0,0.0,1,1,87.0,Female,Asian or Pacific Islander,Not First Gen,N,23.87,0.340609339,2018,FOOTHILL COLLEGE,Quarter
49,1,3.547619047,2.25,1.0,0,1,68.0,Female,Asian or Pacific Islander,Not First Gen,Y,24.08,-1.462193627,2016,ORANGE COAST COLLEGE,Semester
50,1,2.589285714,2.25,1.0,0,1,89.0,Male,Foreign,First Gen,N,22.89,0.345041371,2015,DE ANZA COLLEGE,Quarter
51,1,3.711363636,2.0,0.0,1,1,93.0,Female,Foreign,Not First Gen,N,20.81,1.244202259,2015,PASADENA CITY COLLEG,Semester
52,1,3.854430379,2.0,0.0,1,1,79.0,Female,Hispanic,First Gen,Y,23.17,0.353495034,2019,SANTA MONICA COLL,Semester
53,1,3.00990099,2.0,0.0,1,1,105.0,Female,Foreign,First Gen,N,23.74,0.762319641,2017,SANTA MONICA COLL,Semester
54,1,3.898876404,2.0,0.0,1,1,74.0,Female,White Non-Hispanic,Not First Gen,N,22.18,1.244202259,2015,GOLDEN WEST COLLEGE,Semester
55,1,3.602469135,2.0,0.0,1,1,84.0,Female,Hispanic,First Gen,N,22.52,1.136287711,2017,HARTNELL COLLEGE,Semester
56,1,2.92278481,2.0,0.0,1,1,83.0,Female,White Non-Hispanic,Not First Gen,N,23.04,-1.780248002,2015,SADDLEBACK COLLEGE,Semester
57,1,3.744565217,2.0,0.0,1,1,92.0,Male,Hispanic,First Gen,Y,23.09,-0.552659828,2018,COLLEGE OF THE DESER,Semester
58,1,3.787640449,2.0,0.0,1,1,89.0,Male,Hispanic,Not First Gen,Y,22.79,0.429903579,2017,DE ANZA COLLEGE,Quarter
59,1,3.878095238,2.75,3.0,0,1,115.0,Male,Asian or Pacific Islander,First Gen,N,25.43,0.519263172,2018,MOUNT SAN ANTONIO CO,Semester
60,1,3.920987654,2.5,2.0,0,1,89.0,Male,White Non-Hispanic,Not First Gen,N,23.19,0.252922697,2019,SADDLEBACK COLLEGE,Semester
61,1,3.211764705,,,0,0,93.0,Female,Hispanic,Unknown/Other,Y,,-1.607665532,2019,SANTA MONICA COLL,Semester
62,1,4.0,2.25,1.0,0,1,128.5,Female,White Non-Hispanic,Not First Gen,N,53.91,0.504353539,2019,PASADENA CITY COLLEG,Semester
63,1,3.417045454,2.25,1.0,0,1,106.0,Female,Hispanic,First Gen,Y,23.01,-0.775977119,2018,SANTIAGO CANYON COLL,Semester
64,1,3.80510204,2.25,1.0,0,1,113.0,Female,Foreign,First Gen,N,24.92,0.340609339,2018,SANTA MONICA COLL,Semester
65,1,3.919191919,2.0,0.0,1,1,99.0,Female,Foreign,Unknown/Other,N,23.12,0.519263172,2018,SANTA MONICA COLL,Semester
66,1,3.30775862,2.5,2.0,0,1,121.0,Male,White Non-Hispanic,First Gen,N,22.57,0.563926631,2018,LOS ANGELES PIERCE C,Semester
67,1,3.558333333,2.0,0.0,1,1,78.0,Female,Asian or Pacific Islander,Not First Gen,N,22.18,0.467654219,2015,MOORPARK COLLEGE,Semester
68,1,3.58875,2.0,0.0,1,1,84.0,Female,White Non-Hispanic,Not First Gen,Y,22.48,0.998976562,2015,SANTA MONICA COLL,Semester
69,1,2.665432098,2.0,0.0,1,1,91.0,Female,Black Non-Hispanic,First Gen,Y,23.96,-1.808810206,2019,LOS ANGELES PIERCE C,Semester
70,1,3.764383561,2.5,2.0,0,1,73.0,Male,Hispanic,Not First Gen,N,23.73,0.161955506,2018,COLLEGE OF THE DESER,Semester
71,1,3.840229885,2.0,0.0,1,1,91.0,Male,Asian or Pacific Islander,Not First Gen,N,25.23,1.136287711,2017,GOLDEN WEST COLLEGE,Semester
72,1,2.96,5.25,13.0,0,1,101.0,Male,Hispanic,First Gen,Y,27.2,0.519263172,2018,SANTA ANA COLLEGE,Semester
73,1,3.478666666,2.0,0.0,1,1,75.0,Female,Hispanic,Unknown/Other,Y,22.83,-1.043957869,2018,MOUNT SAN ANTONIO CO,Semester
74,1,2.6875,2.5,2.0,0,1,96.0,Male,Asian or Pacific Islander,First Gen,Y,27.11,0.263695548,2017,LONG BEACH CITY COLL,Semester
75,1,3.033980582,3.0,4.0,0,1,106.0,Female,Hispanic,First Gen,Y,33.84,-1.535022305,2015,ORANGE COAST COLLEGE,Semester
76,1,3.488764044,1.75,-1.0,1,1,88.0,Female,Asian or Pacific Islander,First Gen,Y,21.6,-1.004231512,2019,LOS ANGELES VALLEY C,Semester
77,1,3.647916666,2.0,0.0,1,1,96.0,Female,Asian or Pacific Islander,Not First Gen,N,22.19,-0.305091933,2016,DE ANZA COLLEGE,Quarter
78,1,3.443243243,2.0,0.0,1,1,104.0,Female,Foreign,First Gen,N,23.54,0.742580464,2018,SANTA MONICA COLL,Semester
79,1,3.295714285,2.0,0.0,1,1,70.0,Female,Asian or Pacific Islander,First Gen,Y,22.84,1.007215222,2019,SACRAMENTO CITY COLL,Semester
80,1,3.141573033,2.25,1.0,0,1,97.0,Female,Hispanic,Unknown/Other,Y,24.16,-0.400797492,2019,AMERICAN RIVER COLLE,Semester
81,1,3.512345679,2.75,3.0,0,1,93.0,Female,Foreign,First Gen,N,24.74,0.653253547,2018,DE ANZA COLLEGE,Quarter
82,1,3.295348837,2.5,2.0,0,1,86.0,Male,White Non-Hispanic,Not First Gen,Y,26.15,-0.195352161,2018,PASADENA CITY COLLEG,Semester
83,1,3.237078651,2.25,1.0,0,1,89.0,Male,Asian or Pacific Islander,First Gen,Y,23.54,0.181557573,2015,EL CAMINO COLLEGE,Semester
84,1,3.864615384,2.0,0.0,1,1,89.0,Male,Asian or Pacific Islander,First Gen,Y,25.64,0.604925876,2019,MISSION COLLEGE,Semester
85,1,3.136904761,2.25,1.0,0,1,92.0,Female,Foreign,Not First Gen,N,24.72,0.590267068,2015,DE ANZA COLLEGE,Quarter
86,1,3.588235294,2.0,0.0,1,1,85.0,Female,Black Non-Hispanic,Not First Gen,Y,23.42,-0.227151922,2015,SANTA MONICA COLL,Semester
87,1,2.931868131,5.25,13.0,0,1,95.0,Female,Foreign,First Gen,N,27.62,-0.504592225,2016,DIABLO VALLEY COLLEG,Semester
88,1,2.698611111,1.75,-1.0,1,1,85.0,Male,Foreign,Unknown/Other,N,27.3,0.304170421,2015,CONTRA COSTA COLLEGE,Semester
89,1,3.425882352,2.5,2.0,0,1,91.0,Male,Foreign,Not First Gen,N,23.68,-0.401136576,2017,ORANGE COAST COLLEGE,Semester
90,1,3.779012345,2.0,0.0,1,1,81.0,Male,White Non-Hispanic,Not First Gen,N,22.05,1.244202259,2015,MOORPARK COLLEGE,Semester
91,1,3.936486486,2.0,0.0,1,1,78.0,Female,White Non-Hispanic,Not First Gen,N,22.59,0.001491855,2019,SANTA BARBARA CITY C,Semester
92,1,3.572093023,2.25,1.0,0,1,97.5,Female,White Non-Hispanic,Not First Gen,Y,24.0,-0.704092517,2016,SACRAMENTO CITY COLL,Semester
93,1,3.41025641,1.75,-1.0,1,1,78.0,Female,Black Non-Hispanic,Not First Gen,N,23.64,-3.065964415,2019,ANTELOPE VALLEY COLL,Semester
94,1,2.747524752,,,0,0,101.0,Female,White Non-Hispanic,First Gen,Y,,1.136287711,2017,LOS ANGELES VALLEY C,Semester
95,0,3.760869565,2.25,1.0,0,1,100.0,Male,Hispanic,First Gen,Y,25.5,-2.686497004,2017,CAL POLY SAN LUIS OB,Quarter
96,1,3.984415584,2.0,0.0,1,1,77.0,Male,Asian or Pacific Islander,First Gen,Y,22.41,-0.350511323,2019,CYPRESS COLLEGE,Semester
97,1,3.061538461,2.0,0.0,1,1,78.0,Female,Foreign,First Gen,N,24.31,-0.39063572,2015,EL CAMINO COLLEGE,Semester
98,1,3.113580246,3.0,4.0,0,1,100.0,Female,Asian or Pacific Islander,Not First Gen,N,25.95,0.474599714,2018,GLENDALE COMMUNITY C,Semester
99,1,3.808571428,2.5,2.0,0,1,74.5,Male,Hispanic,Not First Gen,N,25.0,-1.044570911,2015,SIERRA COLLEGE,Semester
100,1,3.851401869,2.0,0.0,1,1,111.0,Female,White Non-Hispanic,Not First Gen,Y,20.38,0.001491855,2019,SADDLEBACK COLLEGE,Semester
101,0,3.583760683,2.5,2.0,0,1,122.0,Male,Foreign,Not First Gen,N,23.64,0.388351571,2017,NORTH SEATTLE CMTY C,Quarter
102,1,3.296969696,2.5,2.0,0,1,115.0,Male,Foreign,First Gen,N,25.45,0.519263172,2018,FOOTHILL COLLEGE,Quarter
103,1,3.631944444,2.5,2.0,0,1,76.0,Female,Asian or Pacific Islander,First Gen,Y,26.74,-0.999294411,2018,LOS ANGELES PIERCE C,Semester
104,0,3.687209302,2.25,1.0,0,1,90.0,Male,Black Non-Hispanic,Not First Gen,Y,23.06,0.345041371,2015,CAL POLY SAN LUIS OB,Quarter
105,1,3.451470588,2.25,1.0,0,1,97.0,Female,Foreign,Not First Gen,N,25.75,-0.350511323,2019,DE ANZA COLLEGE,Quarter
106,1,3.709433962,2.5,2.0,0,1,110.0,Male,Asian or Pacific Islander,Not First Gen,Y,23.35,0.353495034,2019,EL CAMINO COLLEGE,Semester
107,1,1.805555555,,,0,0,24.0,Male,Hispanic,First Gen,N,,0.202636529,2019,MIRACOSTA COLLEGE,Semester
108,1,3.502985074,3.0,4.0,0,1,113.0,Male,Asian or Pacific Islander,First Gen,Y,23.27,-0.953945344,2019,CITY COLLEGE SAN FRA,Semester
109,1,2.694366197,,,0,0,71.0,Male,"Unstated, Unknown, Other",Not First Gen,N,,-0.068720514,2017,SAN DIEGO MESA COLLE,Semester
110,1,3.366666666,2.5,2.0,0,1,92.0,Male,White Non-Hispanic,Not First Gen,N,22.81,-0.016698328,2018,GLENDALE COMMUNITY C,Semester
111,1,3.292,4.0,8.0,0,1,83.0,Female,Asian or Pacific Islander,First Gen,Y,26.67,-0.145410023,2015,GOLDEN WEST COLLEGE,Semester
112,1,2.664705882,2.25,1.0,0,1,121.0,Female,Asian or Pacific Islander,Not First Gen,Y,22.66,-0.999294411,2018,ORANGE COAST COLLEGE,Semester
113,1,3.169318181,2.25,1.0,0,1,92.0,Male,Asian or Pacific Islander,First Gen,Y,22.49,-0.816656654,2017,OHLONE COLLEGE,Semester
114,1,3.440449438,2.0,0.0,1,1,89.0,Female,Asian or Pacific Islander,Not First Gen,N,22.91,0.742580464,2018,MOORPARK COLLEGE,Semester
115,1,3.869607843,2.5,2.0,0,1,105.0,Male,Black Non-Hispanic,Unknown/Other,Y,23.0,-0.484240592,2017,COASTLINE COMMUNITY,Semester
116,1,2.701098901,2.25,1.0,0,1,103.0,Male,Foreign,First Gen,N,28.0,0.971709937,2016,IRVINE VALLEY COLLEG,Semester
117,1,3.516049382,2.0,0.0,1,1,81.0,Male,White Non-Hispanic,Not First Gen,N,23.68,0.333309002,2016,BUTTE COLLEGE,Semester
118,1,3.630232558,2.0,0.0,1,1,93.0,Female,White Non-Hispanic,Not First Gen,N,22.37,0.762319641,2017,LOS ANGELES PIERCE C,Semester
119,1,3.983146067,1.75,-1.0,1,1,100.0,Female,White Non-Hispanic,Not First Gen,N,22.35,-1.305948522,2019,CABRILLO COLLEGE,Semester
120,0,3.131818181,,,0,0,115.0,Female,White Non-Hispanic,Not First Gen,N,,-2.205207786,2018,GEORGE WASHINGTON UN,
121,1,3.343333333,2.25,1.0,0,1,92.0,Female,Foreign,Not First Gen,N,25.95,-0.743992576,2016,CITY COLLEGE SAN FRA,Semester
122,1,2.456302521,7.5,22.0,0,1,132.0,Male,Asian or Pacific Islander,First Gen,Y,32.13,0.549396118,2015,PASADENA CITY COLLEG,Semester
123,1,3.813114754,1.5,-2.0,1,1,68.0,Male,Foreign,First Gen,N,21.58,1.007215222,2019,FOOTHILL COLLEGE,Quarter
124,1,3.830487804,1.75,-1.0,1,1,92.0,Female,White Non-Hispanic,Not First Gen,N,22.14,0.612609411,2016,SANTIAGO CANYON COLL,Semester
125,1,3.792307692,2.0,0.0,1,1,78.0,Male,Hispanic,First Gen,N,23.77,0.886975665,2017,HARTNELL COLLEGE,Semester
126,1,3.152873563,2.0,0.0,1,1,96.0,Female,Black Non-Hispanic,First Gen,Y,22.57,-1.708237869,2019,SANTA MONICA COLL,Semester
127,1,3.201282051,,,0,0,89.0,Female,Hispanic,First Gen,N,,0.222428522,2015,CRAFTON HILLS COLLEG,Semester
128,1,3.351282051,2.0,0.0,1,1,83.0,Female,Hispanic,Not First Gen,N,22.19,0.388351571,2017,CYPRESS COLLEGE,Semester
129,0,3.783443708,1.5,-2.0,1,1,59.0,Female,Foreign,Not First Gen,N,21.43,0.856356717,2019,UC SANTA CRUZ,Quarter
130,1,3.544186046,2.0,0.0,1,1,89.0,Female,Hispanic,First Gen,Y,21.86,-0.099080481,2019,EAST LOS ANGELES COL,Semester
131,1,2.985714285,6.0,16.0,0,1,118.0,Male,Black Non-Hispanic,First Gen,Y,27.45,-1.741494036,2016,MOUNT SAN JACINTO CO,Semester
132,1,2.763157894,1.75,-1.0,1,1,87.0,Female,Foreign,First Gen,N,23.43,-1.004231512,2019,SANTA BARBARA CITY C,Semester
133,1,3.677294685,2.25,1.0,0,1,90.0,Female,White Non-Hispanic,Not First Gen,N,22.04,0.051778024,2019,SANTA MONICA COLL,Semester
134,1,3.393421052,1.75,-1.0,1,1,76.0,Female,White Non-Hispanic,First Gen,N,24.13,-0.061361786,2018,SANTA MONICA COLL,Semester
135,1,3.763333333,2.0,0.0,1,1,90.0,Female,Asian or Pacific Islander,First Gen,Y,22.88,0.845423657,2017,FOOTHILL COLLEGE,Quarter
136,1,1.66,,,0,0,30.0,Male,Black Non-Hispanic,First Gen,Y,,-1.575893254,2015,COLLEGE OF THE DESER,Semester
137,1,3.293150684,2.0,0.0,1,1,98.0,Female,Foreign,Not First Gen,N,24.11,1.007215222,2019,DE ANZA COLLEGE,Quarter
138,0,3.609890109,2.25,1.0,0,1,75.0,Female,White Non-Hispanic,Not First Gen,Y,24.82,-1.657635153,2015,US AIR FORCE ACADEMY,
139,1,3.002247191,2.0,0.0,1,1,89.0,Female,"Unstated, Unknown, Other",First Gen,N,22.91,-0.442688584,2017,SANTA ROSA JUNIOR CO,Semester
140,1,3.54090909,2.0,0.0,1,1,88.0,Male,White Non-Hispanic,Not First Gen,N,23.16,-0.676732366,2015,COLLEGE OF THE CANYO,Semester
141,1,3.705263157,3.0,4.0,0,1,83.0,Male,Asian or Pacific Islander,Not First Gen,Y,24.79,0.772209645,2016,MIRACOSTA COLLEGE,Semester
142,1,0.0,,,0,0,4.0,Male,White Non-Hispanic,Not First Gen,N,,0.971709937,2016,SANTA MONICA COLL,Semester
143,1,3.831034482,2.0,0.0,1,1,90.0,Male,White Non-Hispanic,First Gen,N,21.78,0.474599714,2018,MERCED COLLEGE,Semester
144,1,3.807142857,2.0,0.0,1,1,52.0,Female,White Non-Hispanic,First Gen,N,21.24,1.136287711,2017,COLLEGE OF THE CANYO,Semester
145,1,3.569230769,2.0,0.0,1,1,88.0,Female,Asian or Pacific Islander,First Gen,Y,22.98,0.117292047,2018,DE ANZA COLLEGE,Quarter
146,1,3.522666666,2.0,0.0,1,1,75.0,Female,Hispanic,First Gen,Y,26.07,-0.664192459,2016,EAST LOS ANGELES COL,Semester
147,1,3.718681318,2.25,1.0,0,1,91.0,Female,Asian or Pacific Islander,Not First Gen,N,22.69,0.15235036,2019,PASADENA CITY COLLEG,Semester
148,1,3.230136986,3.5,6.0,0,1,156.0,Female,"Unstated, Unknown, Other",Unknown/Other,N,23.21,1.244202259,2015,GOLDEN WEST COLLEGE,Semester
149,1,3.88051948,2.0,0.0,1,1,77.0,Female,White Non-Hispanic,Not First Gen,N,19.9,1.055224672,2018,CERRO COSO CMTY COLL,Semester
150,1,3.194936708,2.0,0.0,1,1,84.0,Male,White Non-Hispanic,First Gen,Y,24.18,-0.799345214,2015,SANTA MONICA COLL,Semester
151,1,3.65625,2.25,1.0,0,1,88.0,Female,Asian or Pacific Islander,First Gen,Y,26.97,-0.344991991,2016,ORANGE COAST COLLEGE,Semester
152,1,3.453174603,3.0,4.0,0,1,140.0,Male,Foreign,Not First Gen,N,23.69,0.876363714,2015,DIABLO VALLEY COLLEG,Semester
153,1,2.62117647,3.0,4.0,0,1,96.0,Female,Asian or Pacific Islander,Not First Gen,N,22.99,-0.733552639,2017,SANTA MONICA COLL,Semester
154,1,3.39884393,1.5,-2.0,1,1,82.0,Male,Foreign,First Gen,N,25.34,0.295945881,2018,BERKELEY CITY COLLEG,Semester
155,1,3.392,2.0,0.0,1,1,75.0,Male,White Non-Hispanic,Not First Gen,Y,22.13,1.211110287,2016,PASADENA CITY COLLEG,Semester
156,1,3.85,2.0,0.0,1,1,84.0,Female,Hispanic,Not First Gen,Y,21.99,0.22214354,2017,SAN DIEGO MESA COLLE,Semester
157,1,3.98021978,2.0,0.0,1,1,91.0,Female,White Non-Hispanic,Not First Gen,N,30.57,1.080718461,2015,PASADENA CITY COLLEG,Semester
158,1,2.981609195,2.0,0.0,1,1,90.0,Female,White Non-Hispanic,First Gen,Y,21.86,0.13380871,2016,SANTA MONICA COLL,Semester
159,1,3.72375,2.0,0.0,1,1,83.0,Female,Black Non-Hispanic,First Gen,Y,23.64,-3.816297074,2016,RIVERSIDE CITY COLLE,Semester
160,1,3.79090909,2.5,2.0,0,1,88.0,Male,White Non-Hispanic,Not First Gen,Y,28.43,-2.802021738,2015,LOS ANGELES PIERCE C,Semester
161,1,4.0,1.75,-1.0,1,1,85.0,Male,White Non-Hispanic,First Gen,Y,25.97,1.211110287,2016,LOS ANGELES PIERCE C,Semester
162,1,3.402597402,2.0,0.0,1,1,77.0,Male,White Non-Hispanic,First Gen,N,23.01,0.794621815,2015,SANTA MONICA COLL,Semester
163,1,3.794117647,2.0,0.0,1,1,85.0,Female,White Non-Hispanic,First Gen,N,22.53,0.13380871,2016,SANTA MONICA COLL,Semester
164,1,2.825,2.25,1.0,0,1,88.0,Female,Hispanic,First Gen,N,23.29,-0.344991991,2016,BERKELEY CITY COLLEG,Semester
165,1,3.471232876,1.75,-1.0,1,1,82.0,Female,Foreign,Unknown/Other,N,24.72,-0.39063572,2015,SANTA MONICA COLL,Semester
166,1,2.894117647,1.75,-1.0,1,1,94.0,Male,Foreign,Not First Gen,N,23.72,-1.149072716,2017,SANTA MONICA COLL,Semester
167,1,2.91,,,0,0,34.0,Female,Foreign,Not First Gen,N,,0.608590089,2018,PALOMAR COLLEGE,Semester
168,1,3.488732394,1.5,-2.0,1,1,72.0,Female,Asian or Pacific Islander,First Gen,N,28.52,0.492909236,2016,EAST LOS ANGELES COL,Semester
169,1,3.823958333,2.0,0.0,1,1,100.5,Female,White Non-Hispanic,Not First Gen,Y,21.7,0.59611161,2017,SANTA MONICA COLL,Semester
170,1,3.618435754,2.0,0.0,1,1,86.0,Female,White Non-Hispanic,Not First Gen,N,21.91,-0.227151922,2015,FOOTHILL COLLEGE,Quarter
171,0,3.918279569,2.0,0.0,1,1,96.5,Male,White Non-Hispanic,Not First Gen,Y,35.28,-1.535255911,2018,WHATCOM CMTY COLLEGE,Quarter
172,1,3.618918918,2.5,2.0,0,1,91.0,Female,Asian or Pacific Islander,First Gen,N,23.51,0.202636529,2019,PASADENA CITY COLLEG,Semester
173,1,3.262337662,2.0,0.0,1,1,77.0,Male,Hispanic,Not First Gen,Y,27.67,-1.579919369,2018,RIO HONDO COLLEGE,Semester
174,1,3.975342465,1.75,-1.0,1,1,78.0,Female,White Non-Hispanic,Not First Gen,N,22.59,1.055224672,2018,SANTA MONICA COLL,Semester
175,1,3.518604651,2.25,1.0,0,1,86.0,Male,Asian or Pacific Islander,First Gen,Y,24.88,0.385272797,2018,PASADENA CITY COLLEG,Semester
176,1,3.756521739,2.0,0.0,1,1,69.0,Male,Black Non-Hispanic,Unknown/Other,N,22.55,0.097487517,2017,SANTA MONICA COLL,Semester
177,1,2.989743589,2.5,2.0,0,1,121.0,Female,White Non-Hispanic,First Gen,Y,28.44,1.136287711,2017,GLENDALE COMMUNITY C,Semester
